"PriorityRank","CollectorRank","CustomerID","CustomerName","Segment","Region","RiskTier","CollectorID","CollectorName","Team","TermsCode","OpenBalance","PastDueBalance","Balance90Plus","DisputedBalance","WeightedExposure","DisputedWeightedExposure","CollectableExposure","NetCollectablePosition","IsFullyOffsetByCash","OldestDaysPastDue","CreditUtilizationPct","AvgDaysLateHistoric","UnappliedCash","NetExposure","BrokenPromises90d","ActionCode","CreditHoldFlag","IsTodaysWorklist","RecommendedAction"
"253","47","C0195","Redline Manufacturing","OEM Manufacturer","Southwest","Medium","COL-01","Priya Natarajan","Strategic Accounts","NET60","58855.62","4996.89","0.00","1630.92","1249.22","0.00","0.00","-3747.67","1","18","16.35","11.6","4996.89","53858.73","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"254","48","C0197","Harbor Machine Works - Southwest 3","OEM Manufacturer","Southwest","Low","COL-01","Priya Natarajan","Strategic Accounts","NET60","63838.80","0.00","0.00","1630.87","0.00","0.00","0.00","0.00","1","-5","13.58","5.0","0.00","63838.80","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"255","49","C0211","Ironbridge Builders","Contractor","West","Low","COL-04","Tomas Okafor","Commercial","NET60","19129.87","5733.22","0.00","0.00","1433.31","0.00","0.00","-1548.76","1","4","22.51","3.5","2982.07","16147.80","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"256","30","C0218","Riverbend Parts & Service - Midwest","MRO Reseller","Midwest","Low","COL-06","Sam Horowitz","Small Business","NET30","19062.14","1498.04","0.00","0.00","374.51","0.00","0.00","-1123.53","1","6","16.58","6.1","1498.04","17564.10","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"257","53","C0219","Titan Construction - Southwest 3","Contractor","Southwest","Low","COL-03","Elena Ruiz","Commercial","NET60","48336.70","14205.25","0.00","0.00","3551.31","0.00","0.00","-2846.52","1","30","42.03","6.1","6397.83","41938.87","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"258","50","C0234","Redline University Facilities - Midwest 3","Institutional","Midwest","Low","COL-04","Tomas Okafor","Commercial","NET90","30367.54","19450.60","0.00","0.00","4862.65","0.00","0.00","-3358.94","1","24","20.94","26.0","8221.59","22145.95","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"259","51","C0235","Riverbend Electric - Southeast","Contractor","Southeast","Medium","COL-04","Tomas Okafor","Commercial","NET30","10798.11","9108.22","0.00","0.00","2277.06","0.00","0.00","-5997.10","1","20","7.45","12.1","8274.16","2523.95","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"260","52","C0258","Riverbend Contracting - Midwest","Contractor","Midwest","Low","COL-04","Tomas Okafor","Commercial","NET30","5265.61","2428.46","0.00","0.00","607.12","0.00","0.00","-2230.03","1","26","17.55","7.3","2837.15","2428.46","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"261","37","C0262","Titan Industrial Supply","MRO Reseller","Midwest","Medium","COL-05","Grace Lindqvist","Small Business","NET30","9711.72","3099.30","0.00","0.00","774.83","0.00","0.00","-2324.47","1","26","8.83","14.3","3099.30","6612.42","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"262","54","C0264","Crestview Electric - Midwest","Contractor","Midwest","Low","COL-03","Elena Ruiz","Commercial","NET30","12024.06","1499.82","0.00","0.00","374.96","0.00","0.00","-1124.86","1","4","18.50","5.8","1499.82","10524.24","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"263","53","C0291","Redline Contracting","Contractor","Southeast","Low","COL-04","Tomas Okafor","Commercial","NET30","10161.73","1384.50","0.00","0.00","346.13","0.00","0.00","-1038.37","1","3","13.55","6.3","1384.50","8777.23","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"264","49","C0294","Titan Components","OEM Manufacturer","Northeast","Low","COL-01","Priya Natarajan","Strategic Accounts","NET60","49151.53","2883.43","0.00","0.00","2162.57","0.00","0.00","-720.86","1","71","22.86","5.6","2883.43","46268.10","1","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"265","42","C0299","Silverline Industries","OEM Manufacturer","Southwest","Low","COL-02","Marcus Bell","Strategic Accounts","NET60","90910.94","19833.51","0.00","4253.33","4958.38","1063.33","0.00","-11419.30","1","10","22.45","5.7","15580.18","75330.76","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"266","54","C0300","Cedar Ridge Contracting - West 3","Contractor","West","Medium","COL-04","Tomas Okafor","Commercial","2/10NET30","2395.99","2395.99","0.00","0.00","599.00","0.00","0.00","-1796.99","1","13","3.69","-4.6","2395.99","0.00","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"267","43","C0314","Cedar Ridge Fabrication","OEM Manufacturer","Southeast","Low","COL-02","Marcus Bell","Strategic Accounts","NET60","49847.08","0.00","0.00","19972.27","0.00","0.00","0.00","0.00","1","-10","18.13","7.4","0.00","49847.08","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"268","31","C0317","Apex Industrial Supply","MRO Reseller","West","Low","COL-06","Sam Horowitz","Small Business","NET30","9464.29","4944.54","0.00","0.00","1236.14","0.00","0.00","-3188.83","1","10","9.46","5.3","4424.97","5039.32","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"269","50","C0327","Ironbridge Water Authority","Institutional","Midwest","Low","COL-01","Priya Natarajan","Strategic Accounts","NET90","51196.88","17807.08","0.00","0.00","4451.77","0.00","0.00","-1969.75","1","22","26.25","22.5","6421.52","44775.36","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"270","44","C0348","Bluewater Manufacturing","OEM Manufacturer","Midwest","Low","COL-02","Marcus Bell","Strategic Accounts","NET60","61996.38","0.00","0.00","6528.44","0.00","0.00","0.00","0.00","1","-3","27.55","3.6","0.00","61996.38","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"271","45","C0350","Crestview Industries","OEM Manufacturer","West","Low","COL-02","Marcus Bell","Strategic Accounts","NET45","33344.03","10085.17","0.00","0.00","2521.29","0.00","0.00","-7563.88","1","11","9.95","6.8","10085.17","23258.86","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"272","38","C0385","Cedar Ridge Maintenance Supply - Southeast","MRO Reseller","Southeast","Medium","COL-05","Grace Lindqvist","Small Business","NET30","9077.63","3231.70","0.00","0.00","807.93","0.00","0.00","-113.77","1","27","36.31","14.0","921.70","8155.93","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
